"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Brendan Rodgers","COL","131","567","525","147","29","4","21","72","70","29","113","8","1","1","",".281",".327",".469",".796",".340","","0.2","-0.6","","1.9","","162.5","17907"
"Austin Hays","BAL","136","588","543","140","28","3","25","76","78","31","123","8","7","4","",".257",".306",".456",".762",".325","","2.9","-0.7","","1.9","","236.5","19363"
"Kevin Kiermaier","TBR","120","518","468","109","22","7","10","59","52","39","127","6","13","5","",".233",".298",".374",".671",".291","","6.8","0.6","","1.9","","581.1","11038"
"Ryan McMahon","COL","134","581","515","131","28","2","24","74","81","57","154","4","5","2","",".254",".330",".455",".785",".336","","2.3","-0.2","","1.9","","161.4","15112"
"Joey Votto","CIN","152","658","559","139","27","2","32","85","97","89","155","5","2","0","",".249",".355",".472",".827",".353","","-1.0","-2.7","","1.9","","138.6","4314"
"Tommy Pham","","130","560","481","121","23","2","17","73","58","70","124","5","15","5","",".252",".350",".413",".763",".333","","-1.1","0.8","","1.9","","266.9","2967"
"Jose Miranda","MIN","102","441","407","113","24","1","15","56","57","23","59","6","2","1","",".277",".323",".446",".768",".329","","0.9","-0.5","","1.9","","421.0","sa917952"
"David Fletcher","LAA","151","651","602","166","31","3","6","76","50","39","63","2","12","4","",".276",".321",".366",".687",".301","","1.3","0.8","","1.8","","335.6","17992"
"Omar Narváez","MIL","104","413","363","91","15","0","12","45","45","41","82","5","0","0","",".251",".332",".392",".724",".316","","-1.3","-0.9","","1.8","","248.3","13338"
"Daulton Varsho","ARI","105","438","393","99","20","3","16","56","53","37","91","4","9","3","",".252",".321",".442",".764",".327","","-1.7","0.8","","1.8","","94.5","19918"
"Yuli Gurriel","HOU","139","602","540","153","29","1","17","75","77","48","73","5","2","2","",".283",".343",".435",".778",".334","","-0.9","-1.4","","1.8","","201.0","19198"
"Lourdes Gurriel Jr.","TOR","138","595","551","150","31","2","26","73","87","33","121","5","4","3","",".273",".316",".476",".793",".336","","-0.6","-1.5","","1.8","","141.7","19238"
"Jonathan Schoop","DET","141","609","565","149","27","2","22","76","75","30","123","8","2","0","",".264",".308",".438",".747",".320","","-2.7","-0.2","","1.8","","197.6","11265"
"Robbie Grossman","DET","139","602","510","123","24","3","17","75","59","79","132","6","15","5","",".241",".348",".402",".750",".328","","-0.5","-0.4","","1.8","","185.8","5254"
"Brian Anderson","MIA","120","518","455","112","22","1","16","56","59","48","125","11","5","2","",".247",".332",".408",".739",".321","","0.0","0.2","","1.8","","433.1","18289"
"Joc Pederson","","122","525","464","111","21","3","25","69","74","46","123","10","3","3","",".238",".317",".458",".775",".331","","0.0","-0.8","","1.8","","447.6","11899"
